Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Alexandre Frota denuncia plano de bolsonaristas para atacar igrejas e culpar o PT antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/declaracao-alexandre-frota-bolsonaristas-prejudicar-lula-falso/,Falso,2026-05-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbs0xfUX3RSZ05mOTSJG5cYhijGLxmE_0HlJTtcIgD8opA3Xoq,"['Bolsonarismo', 'Partido dos Trabalhadores', 'Eleição', 'Partido dos Trabalhadores']"
banco Master nunca existiu,Estadão,https://www.estadao.com.br/estadao-verifica/falso-banco-master-lavagem-de-dinheiro-partido-dos-trabalhadores/,Falso,2026-04-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSDFBh7xCX6vxdx9V09KI-Raxcxx-G3oUWXnp3hJqoFJ8WyOUjh,"['Banco Master', 'Banco']"
"Funcionários do PT ganharam Mega da Virada de 2025 com prêmio acumulado de R$ 1,09 bilhão",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/07/assessores-do-pt-nao-ganharam-mega-da-virada-de-r-1-bi-noticia-e-de-2024.htm,Distorcido,2026-01-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjUiSlv-eE27AR0nkX54t5T0RdUamW0s8a_1MIpdonoUk91D3A,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025', 'Um bilhão']"
Grupo de assessores do PT ganhou prêmio de R$ 120 milhões na Mega da Virada de 2025,Estadão,https://www.estadao.com.br/estadao-verifica/assessores-pt-mega-sena-120-milhoes-2019-enganoso/,Enganoso,2026-01-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZoXmZ1089EHlPxKy5EqD9TD1eSPiP4Rg6Dljeil0nNBMqBr5n,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025']"
Grupo de assessores do PT ganhou R$ 120 milhões na Mega da Virada 2025,Aos Fatos,https://www.aosfatos.org/noticias/grupo-de-assessores-do-pt-nao-ganhou-premio-de-r-120-milhoes-na-ultima-mega-da-virada/,falso,2026-01-02 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqFgAhY1XPkAgLC5pO26NQXa_jrTZpajJ74HUhm4ci55T2fPpD,"['Mega-Sena', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', '2025']"
"Venezuela ""começou a dedurar"" após a prisão de Nicolás Maduro e Lula foi citado",Estadão,https://www.estadao.com.br/estadao-verifica/venezuela-comecou-a-dedurar-prisao-nicolas-maduro-hugo-carvajal-enganoso/,Enganoso,2026-01-09 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDl9F8OwQl2bKphO4GZkVbRaJSTdFMCHJ2mJH58RBAb1OZSpyD,"['Nicolás Maduro', 'Venezuela', 'Luiz Inácio Lula da Silva', 'Prisão']"
Assessores do PT ganharam R$ 120 milhões na Mega-Sena da virada de 2026,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/05/assessores-do-pt-ganharam-r-120-milhoes-na-mega-sena-em-2019.htm,Distorcido,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpP2SjQm_kr9B2BBQ4nKJPNGcAWiH6uj5eWsY7XYi4GkU_adxE,"['Mega-Sena', '2026']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Instituto Nacional do Seguro Social', 'Partido dos Trabalhadores', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
"Em áudio vazado, William Bonner diz que ajudou a eleger Lula e que a Globo lucra bilhões com o PT",Estadão,https://www.estadao.com.br/estadao-verifica/audio-bonner-ajudou-eleger-lula-globo-lucra-pt-falso/,Falso,2025-09-09 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS95fv-ATkiQuAjfgc5DBReK0324N4Nt9auvwUwh1glekOJdt1S,"['William Bonner', 'Luiz Inácio Lula da Silva', 'TV Globo', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Lucro']"
O programa foi criado pelo PT para atender a ditadura cubana.,Aos Fatos,https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-verdadeiro-sobre-o-programa-mais-medicos/,falso,2025-08-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQN1Af4X7qSBrmOskWjT8w6VskKxvRxgylEHpYlWIveWjfwsNdR,"['Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Ditadura']"
